"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated"
"MYOZ3",0.142626324940345,16.1905273263282,1.37787273701616,0.174746571329768,0.479201195387008,-5.24373414877105,0.779735903061443,"MYOZ3",0.322032861888969,0.99999999892378,0.75759133671058,"no"
"METAP2",0.142515342113851,12.390814093211,1.94830009348196,0.0573442958719203,0.273112044728332,-4.37301745735182,0.665373974141872,"METAP2",0.183536798795301,0.99999999892378,1.24150977557534,"no"
"LAMTOR3",0.142397068149565,12.1911450364141,1.98371768819211,0.0532536659098976,0.261550798668203,-4.30243867494013,0.658621500908069,"LAMTOR3",0.175767408419011,0.99999999892378,1.27365049061899,"no"
"DNAJB2",0.142378201387704,11.5191714809405,1.36459335418179,0.1788576961453,0.48600069555787,-5.26078993906487,0.782660437148894,"DNAJB2",0.326602263051812,0.99999999892378,0.747492367667519,"no"
"EIF5A",0.142148956340195,15.4722750186088,2.20042710511354,0.0327100510743318,0.203895195749396,-3.90740147698075,0.61498353128568,"EIF5A",0.137021681174148,0.99999999892378,1.48531877775569,"no"
"PYGM",0.142076025621449,20.3982823205439,0.900062787905466,0.372660541039888,0.67399447886231,-5.75928030270437,0.869148356085482,"PYGM",0.452937874560399,0.99999999892378,0.428686589848434,"no"
"LDHD",0.142065631009746,12.6351770867073,0.975850800346642,0.334118211243357,0.643490018493725,-5.69124788815818,0.855780869909881,"LDHD",0.432438262356926,0.99999999892378,0.476099852326694,"no"
"NARS2",0.141662956828981,11.5621792301442,0.715707995096637,0.478898777310834,0.755410223113697,-5.7671937101683,0.900953508963414,"NARS2",0.507650895680724,0.99999999892378,0.319756271764733,"no"
"NACA",0.141446676513317,13.8378754749593,1.39251572292857,0.170298108771163,0.469378056966791,-5.22475107790539,0.778497432879906,"NACA",0.315431514879308,0.99999999892378,0.768790175025118,"no"
"HNRNPDL",0.141380602910411,15.7842125029833,2.84168492960232,0.00660929427162131,0.0867196645161052,-2.5279660643549,0.491826825064114,"HNRNPDL",0.0582773624419255,0.99999999892378,2.1798449112108,"no"
"PHB1",0.141101200033413,15.6463715015904,1.46945114883593,0.148351068988556,0.437317108276082,-5.12200098650144,0.763955603069589,"PHB1",0.293885911151408,0.99999999892378,0.828709319895447,"no"
"OXR1",0.140742433761586,10.2131912905546,1.1104122545165,0.275895866586995,0.586043884157919,-5.34626509786229,0.8342363656976,"OXR1",0.393833302221806,0.99999999892378,0.559254805979338,"no"
"MT-CO2",0.140434658988323,17.6156246955549,1.1655715295605,0.249649722114749,0.564285267618966,-5.49798988567295,0.822932845815505,"MT-CO2",0.379211073349599,0.99999999892378,0.602668913022042,"no"
"PARK7",0.140341137494296,16.2238062643525,2.08597980603419,0.042415841463581,0.235063939022296,-4.12453656996198,0.641779337466317,"PARK7",0.157967704878343,0.99999999892378,1.37247191285741,"no"
"RPL12",0.140141039722918,12.6087746741261,0.739995860676112,0.463132738646606,0.743872599518842,-5.86365219283775,0.897742155006109,"RPL12",0.499897380077224,0.99999999892378,0.334294517837861,"no"
"H1-2",0.140077868311002,12.9168433990842,1.6002702501774,0.116217941506572,0.388696433136249,-4.93583489574239,0.739716761140105,"H1-2",0.26121183747843,0.99999999892378,0.934726821207125,"no"
"ATP5F1C",0.139873243221615,17.5403252386277,1.18873626726338,0.240495582955125,0.555567921201622,-5.47217633913815,0.81928205689946,"ATP5F1C",0.373352840853773,0.99999999892378,0.618892895655354,"no"
"HBA2",0.139411172171037,21.0925025263724,1.06408685930659,0.292708083239584,0.59977072066789,-5.60541656148748,0.842587551084104,"HBA2",0.403058013029169,0.99999999892378,0.533565284201415,"no"
"YBX1",0.138992329195304,8.56857473118769,0.371077508347627,0.713013527536669,0.8833768800551,-5.89834045235564,0.954073244311445,"YBX1",0.593647068390441,0.99999999892378,0.146902230486426,"no"
"PHAX",0.138764430454739,13.9686320021731,0.93252044086746,0.355920305987774,0.658487368087761,-5.72036932910406,0.86645043105002,"PHAX",0.442516783564738,0.99999999892378,0.448647233893119,"no"
"KLHL31",0.138668864612709,12.1824447459374,1.64196960968318,0.107393524813927,0.377610275916224,-4.86430722368629,0.733883008917401,"KLHL31",0.253761716378393,0.99999999892378,0.969021903202168,"no"
"CNDP2",0.138419785938915,13.0505665246718,1.97450034067199,0.0541973409349656,0.265328557741422,-4.32682514147906,0.66797083843204,"CNDP2",0.178306138659226,0.99999999892378,1.26602202057601,"no"
"RACK1",0.138360156510842,13.8725022221431,1.56611776874327,0.124007942527462,0.398123494773576,-4.98581182339015,0.749151289173978,"RACK1",0.267547012906823,0.99999999892378,0.906550498020167,"no"
"MAP2K1",0.138266284040432,13.2650555781071,1.68922478023157,0.0977789599451893,0.358191539418019,-4.80117110162279,0.725078429695406,"MAP2K1",0.240711934055262,0.99999999892378,1.00975458654925,"no"
"EPB41L2",0.138020031842855,11.0901773486419,0.987869706329411,0.330371341156506,0.637950821536642,-5.52103725716363,0.85824778507248,"EPB41L2",0.428715810355913,0.99999999892378,0.480997633619866,"no"
"DUSP3",0.137973915951102,15.424462780654,2.14103516795453,0.0374703501584164,0.22091415032048,-4.02126096662791,0.635632527896233,"DUSP3",0.148458761673203,0.99999999892378,1.42631224842855,"no"
"PTMS",0.137956795462966,10.9484569915504,1.1215389017972,0.270364433056036,0.58061697324784,-5.38447097188233,0.834898309061316,"PTMS",0.390186308707573,0.99999999892378,0.568050441219554,"no"
