"","protein","cor","p_value"
"MOCS3","MOCS3",-0.10369057064939,0.592459570205642
"SVIL","SVIL",-0.0291277092587993,0.85112057313792
"AHSA1","AHSA1",0.133358518167588,0.38813848364693
"H6PD","H6PD",0.0880045280901365,0.569997856803591
"MPC2","MPC2",0.0721338401980873,0.641706577665438
"ETHE1","ETHE1",-0.0787590407540562,0.611327742206912
"ACSL3","ACSL3",-0.00903515028530582,0.953582800287155
"PPP1R3D","PPP1R3D",0.171201100968499,0.332995185540788
"SNAP29","SNAP29",-0.0186133576642812,0.904544201813014
"OXSR1","OXSR1",-0.219899544370988,0.151492267285985
"LSM8","LSM8",-0.255601009053408,0.0980651993522615
"AP2A1","AP2A1",0.0973720317124138,0.529482760006726
"CAVIN2","CAVIN2",-0.0546342259083041,0.724663717659654
"BAG2","BAG2",0.0869435054014483,0.574675063082726
"BAG3","BAG3",-0.0423615593019474,0.784831727860197
"MLYCD","MLYCD",0.114797793608437,0.458075854857412
"AIFM1","AIFM1",0.198402740189812,0.196687564003131
"EML2","EML2",0.129440253208229,0.408082034602061
"BPNT1","BPNT1",0.191080587953269,0.214058509830509
"DDAH2","DDAH2",-0.23849673797439,0.155161393122099
"ABHD16A","ABHD16A",0.0240043094779347,0.877085514829341
"TXNDC12","TXNDC12",-0.276215796023373,0.0695311734489135
"NUDT3","NUDT3",0.24736846105079,0.114242485955165
"NDUFB10","NDUFB10",0.021080305929228,0.891963248576481
"MOCS2","MOCS2",0.171974213575506,0.264315608282681
"TOMM40","TOMM40",-0.116817011698442,0.450152959768639
"ACTL6A","ACTL6A",-0.124086888449419,0.45793801320694
"MT-CYB","MT-CYB",0.376019308235461,0.0199854783119357
"CYB5A","CYB5A",-0.0117935470469846,0.939434997330445
"ADH1B","ADH1B",-0.265347629984558,0.0817180202035764
"ADH1C","ADH1C",-0.282419741604118,0.0632482797728203
"LDHA","LDHA",0.321744846675175,0.0331908949851609
"ALDH1A1","ALDH1A1",0.0446036307563922,0.773735185869297
"GLUD1","GLUD1",0.0416112221699468,0.788554876962894
"CYB5R3","CYB5R3",-0.0564462399127012,0.715907745241182
"GSR","GSR",0.144178759538106,0.35044193764074
"MT-CO1","MT-CO1",0.105041715522813,0.49739759009914
"MT-CO2","MT-CO2",0.0401896922399759,0.795621178500592
"MT-CO3","MT-CO3",0.0769238969403132,0.619681033465161
